acceptance_id,requirement_ids,invariant_id,rule_id,test_id,priority,status,evidence_status,evidence_spec_id,action,expected_description
ACC-R3-0001,USR-SCN-013,,BR-ACCOUNT-0001,CT-R3-0001,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0001,Runner局部登录失败不覆盖已有PASS资格；映射可受控切换,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“Runner局部登录失败不覆盖已有PASS资格；映射可受控切换”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0002,USR-SCN-013|USR-SCN-053|USR-SCN-085,,BR-ACCOUNT-0002,CT-R3-0002,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0002,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""产生并关联业务审计记录"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0003,USR-SCN-013,,BR-ACCOUNT-0003,CT-R3-0003,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0003,记录“配置测试账号”的发起主体、参与主体、对象ID、权限与数据范围判定、状态前后值、结果/原因码和时间。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""记录“配置测试账号”的发起主体、参与主体、对象ID、权限与数据范围判定、状态前后值、结果/原因码和时间。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0004,USR-SCN-013,,BR-ACCOUNT-0004,CT-R3-0004,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0004,本地状态变化、不可变事件和审计在同一原子提交边界内完成；提交前审计失败则不提交或回滚本地变化。,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试账号”中，审计必须满足：本地状态变化、不可变事件和审计在同一原子提交边界内完成；提交前审计失败则不提交或回滚本地变化。。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
ACC-R3-0005,USR-SCN-013,,BR-ACCOUNT-0005,CT-R3-0005,P5,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0005,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""identity_key唯一；账号映射切换原子；正式执行使用SSO租约"", ""failure_description"": ""并发门禁不通过时按规则等待、拒绝或返回既有幂等结果。""}"
ACC-R3-0006,USR-SCN-013,,BR-ACCOUNT-0006,CT-R3-0006,P2,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0006,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""“配置测试账号”的读取、写入和历史查询仅作用于明确授权项目及active_scope/history_read_scope；敏感数据另行校验独立权限。"", ""failure_description"": ""超出数据范围时拒绝操作并记录审计。""}"
ACC-R3-0007,USR-SCN-013,,BR-ACCOUNT-0007,CT-R3-0007,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0007,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试账号”中，异常流程必须满足：重复真实身份、LOCKED、停用、诊断失败或明文暴露时拒绝。"", ""failure_description"": ""重复真实身份、LOCKED、停用、诊断失败或明文暴露时拒绝""}"
ACC-R3-0008,USR-SCN-013|USR-SCN-053|USR-SCN-085,,BR-ACCOUNT-0008,CT-R3-0008,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0008,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""任一前置、权限、数据范围、并发或明确资源条件不满足，或未进入声明状态、产生越权/重复副作用、证据未密封、审计缺失时失败。"", ""failure_description"": ""任一前置、权限、数据范围、并发或明确资源条件不满足，或未进入声明状态、产生越权/重复副作用、证据未密封、审计缺失时失败。""}"
ACC-R3-0009,USR-SCN-013,,BR-ACCOUNT-0009,CT-R3-0009,P8,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0009,发起配置测试账号,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""在“配置测试账号”中，失败判定必须满足：事务/补偿策略：LOCAL_TRANSACTION。。"", ""failure_description"": ""事务/补偿策略：LOCAL_TRANSACTION。""}"
ACC-R3-0010,USR-SCN-013,,BR-ACCOUNT-0010,CT-R3-0010,P6,SPECIFIED,EXPECTED_NOT_EXECUTED,EVID-SPEC-0010,创建账号并关联项目/环境/终端,"{""outcome"": ""SUCCESS_OR_RULE_DEFINED_REJECTION"", ""description"": ""动作“创建账号并关联项目/环境/终端”完成并形成可追溯结果。"", ""failure_description"": ""返回明确失败原因且不部分提交""}"
