operationId,method,path,permission_code,approval_status
login_platform_user,POST,/api/v1/auth/login,,LIVING_AUTHORITY_P1
refresh_platform_session,POST,/api/v1/auth/refresh,,LIVING_AUTHORITY_P1
logout_platform_user,POST,/api/v1/auth/logout,,LIVING_AUTHORITY_P1
get_current_user,GET,/api/v1/auth/me,,LIVING_AUTHORITY_P1
change_current_user_password,POST,/api/v1/auth/change-password,,LIVING_AUTHORITY_P1
list_user,GET,/api/v1/user,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_user,POST,/api/v1/user,USER_CREATE,LIVING_AUTHORITY_P1
get_user,GET,/api/v1/user/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_user,PATCH,/api/v1/user/{id},USER_CREATE,CURRENT_LIVING_AUTHORITY
reset_user_credential,POST,/api/v1/user/{id}/credential-reset,USER_CREATE,LIVING_AUTHORITY_P1
enable_user,POST,/api/v1/user/{id}/enable,USER_CREATE,LIVING_AUTHORITY_P1
disable_user,POST,/api/v1/user/{id}/disable,USER_CREATE,LIVING_AUTHORITY_P1
create_user_role_binding,POST,/api/v1/user-role-binding,ROLE_BIND,LIVING_AUTHORITY_P1
revoke_user_role_binding,POST,/api/v1/user-role-binding/{id}/revoke,ROLE_BIND,LIVING_AUTHORITY_P1
list_role,GET,/api/v1/role,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_role,POST,/api/v1/role,ROLE_BIND,CURRENT_LIVING_AUTHORITY
get_role,GET,/api/v1/role/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_role,PATCH,/api/v1/role/{id},ROLE_BIND,CURRENT_LIVING_AUTHORITY
list_project,GET,/api/v1/project,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_project,POST,/api/v1/project,PROJECT_CREATE,CURRENT_LIVING_AUTHORITY
get_project,GET,/api/v1/project/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_project,PATCH,/api/v1/project/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
disable_project,POST,/api/v1/project/{id}/disable,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
recover_project,POST,/api/v1/project/{id}/recover,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
archive_project,POST,/api/v1/project/{id}/archive,PROJECT_ARCHIVE,CURRENT_LIVING_AUTHORITY
list_environment,GET,/api/v1/environment,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_environment,POST,/api/v1/environment,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_environment,GET,/api/v1/environment/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_environment,PATCH,/api/v1/environment/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
validate_environment,POST,/api/v1/environment/{id}/validate,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
reconfigure_environment,POST,/api/v1/environment/{id}/reconfigure,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
activate_environment,POST,/api/v1/environment/{id}/activate,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_business_terminal,GET,/api/v1/business-terminal,BUSINESS_TERMINAL_VIEW,CURRENT_LIVING_AUTHORITY
create_business_terminal,POST,/api/v1/business-terminal,BUSINESS_TERMINAL_CREATE,CURRENT_LIVING_AUTHORITY
get_business_terminal,GET,/api/v1/business-terminal/{id},BUSINESS_TERMINAL_VIEW,CURRENT_LIVING_AUTHORITY
update_business_terminal,PATCH,/api/v1/business-terminal/{id},BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
validate_business_terminal,POST,/api/v1/business-terminal/{id}/validate,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
reconfigure_business_terminal,POST,/api/v1/business-terminal/{id}/reconfigure,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
activate_business_terminal,POST,/api/v1/business-terminal/{id}/activate,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
mark_unreachable_business_terminal,POST,/api/v1/business-terminal/{id}/mark-unreachable,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
recover_business_terminal,POST,/api/v1/business-terminal/{id}/recover,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
disable_business_terminal,POST,/api/v1/business-terminal/{id}/disable,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
archive_business_terminal,POST,/api/v1/business-terminal/{id}/archive,BUSINESS_TERMINAL_ARCHIVE,CURRENT_LIVING_AUTHORITY
activate_login_strategy,POST,/api/v1/login-strategy/{id}/activate,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
validate_environment_terminal_access_revision,POST,/api/v1/environment-terminal-access-revision/{id}/validate,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
publish_environment_terminal_access_revision,POST,/api/v1/environment-terminal-access-revision/{id}/publish,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
list_environment_terminal_access_revision,GET,/api/v1/environment-terminal-access-revision,BUSINESS_TERMINAL_VIEW,CURRENT_LIVING_AUTHORITY
create_environment_terminal_access_revision,POST,/api/v1/environment-terminal-access-revision,BUSINESS_TERMINAL_EDIT,CURRENT_LIVING_AUTHORITY
get_environment_terminal_access_revision,GET,/api/v1/environment-terminal-access-revision/{id},BUSINESS_TERMINAL_VIEW,CURRENT_LIVING_AUTHORITY
list_test_account,GET,/api/v1/test-account,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_test_account,POST,/api/v1/test-account,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_test_account,GET,/api/v1/test-account/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_test_account,PATCH,/api/v1/test-account/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
rotate_test_account_secret,POST,/api/v1/test-account/{id}/credential-rotate,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
validate_test_account,POST,/api/v1/test-account/{id}/validate,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
reconfigure_test_account,POST,/api/v1/test-account/{id}/reconfigure,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
activate_test_account,POST,/api/v1/test-account/{id}/activate,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
mark_credential_expired_test_account,POST,/api/v1/test-account/{id}/mark-credential-expired,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
recover_test_account,POST,/api/v1/test-account/{id}/recover,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
disable_test_account,POST,/api/v1/test-account/{id}/disable,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
archive_test_account,POST,/api/v1/test-account/{id}/archive,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_credential_revision,GET,/api/v1/credential-revision,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_credential_revision,POST,/api/v1/credential-revision,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_credential_revision,GET,/api/v1/credential-revision/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_credential_revision,PATCH,/api/v1/credential-revision/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_account_mapping_revision,GET,/api/v1/account-mapping-revision,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_account_mapping_revision,POST,/api/v1/account-mapping-revision,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_account_mapping_revision,GET,/api/v1/account-mapping-revision/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_account_mapping_revision,PATCH,/api/v1/account-mapping-revision/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_test_data_type,GET,/api/v1/test-data-type,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_test_data_type,POST,/api/v1/test-data-type,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_test_data_type,GET,/api/v1/test-data-type/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_test_data_type,PATCH,/api/v1/test-data-type/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_test_data_resource,GET,/api/v1/test-data-resource,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_test_data_resource,POST,/api/v1/test-data-resource,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_test_data_resource,GET,/api/v1/test-data-resource/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_test_data_resource,PATCH,/api/v1/test-data-resource/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_data_operation_task,GET,/api/v1/data-operation-task,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_data_operation_task,POST,/api/v1/data-operation-task,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_data_operation_task,GET,/api/v1/data-operation-task/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_data_operation_task,PATCH,/api/v1/data-operation-task/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_natural_language_case,GET,/api/v1/natural-language-case,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_natural_language_case,POST,/api/v1/natural-language-case,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_natural_language_case,GET,/api/v1/natural-language-case/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_natural_language_case,PATCH,/api/v1/natural-language-case/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_standard_case,GET,/api/v1/standard-case,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_standard_case,POST,/api/v1/standard-case,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_standard_case,GET,/api/v1/standard-case/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_standard_case,PATCH,/api/v1/standard-case/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_case_version,GET,/api/v1/case-version,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_case_version,POST,/api/v1/case-version,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_case_version,GET,/api/v1/case-version/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_case_version,PATCH,/api/v1/case-version/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_case_suite,GET,/api/v1/case-suite,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_case_suite,POST,/api/v1/case-suite,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_case_suite,GET,/api/v1/case-suite/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_case_suite,PATCH,/api/v1/case-suite/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_business_flow_template,GET,/api/v1/business-flow-template,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_business_flow_template,POST,/api/v1/business-flow-template,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_business_flow_template,GET,/api/v1/business-flow-template/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_business_flow_template,PATCH,/api/v1/business-flow-template/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_page_exploration,GET,/api/v1/page-exploration,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_page_exploration,POST,/api/v1/page-exploration,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_page_exploration,GET,/api/v1/page-exploration/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_page_exploration,PATCH,/api/v1/page-exploration/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_manual_recording_task,GET,/api/v1/manual-recording-task,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_manual_recording_task,POST,/api/v1/manual-recording-task,MANUAL_RECORDING_CREATE,CURRENT_LIVING_AUTHORITY
get_manual_recording_task,GET,/api/v1/manual-recording-task/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_manual_recording_task,PATCH,/api/v1/manual-recording-task/{id},MANUAL_RECORDING_CREATE,CURRENT_LIVING_AUTHORITY
list_manual_recording_session,GET,/api/v1/manual-recording-session,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_manual_recording_session,POST,/api/v1/manual-recording-session,MANUAL_RECORDING_CREATE,CURRENT_LIVING_AUTHORITY
get_manual_recording_session,GET,/api/v1/manual-recording-session/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_manual_recording_session,PATCH,/api/v1/manual-recording-session/{id},MANUAL_RECORDING_CREATE,CURRENT_LIVING_AUTHORITY
list_recording_evidence_bundle,GET,/api/v1/recording-evidence-bundle,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_recording_evidence_bundle,POST,/api/v1/recording-evidence-bundle,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_recording_evidence_bundle,GET,/api/v1/recording-evidence-bundle/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_recording_evidence_bundle,PATCH,/api/v1/recording-evidence-bundle/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_run_task,GET,/api/v1/run-task,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_run_task,POST,/api/v1/run-task,RUN_TASK_CREATE,CURRENT_LIVING_AUTHORITY
get_run_task,GET,/api/v1/run-task/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_run_task,PATCH,/api/v1/run-task/{id},RUN_TASK_CREATE,CURRENT_LIVING_AUTHORITY
list_execution_attempt,GET,/api/v1/execution-attempt,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_execution_attempt,POST,/api/v1/execution-attempt,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_execution_attempt,GET,/api/v1/execution-attempt/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_execution_attempt,PATCH,/api/v1/execution-attempt/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_case_attempt,GET,/api/v1/case-attempt,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_case_attempt,POST,/api/v1/case-attempt,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_case_attempt,GET,/api/v1/case-attempt/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_case_attempt,PATCH,/api/v1/case-attempt/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_execution_plan,GET,/api/v1/execution-plan,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_execution_plan,POST,/api/v1/execution-plan,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_execution_plan,GET,/api/v1/execution-plan/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_execution_plan,PATCH,/api/v1/execution-plan/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_execution_plan_revision,GET,/api/v1/execution-plan-revision,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_execution_plan_revision,POST,/api/v1/execution-plan-revision,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_execution_plan_revision,GET,/api/v1/execution-plan-revision/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_execution_plan_revision,PATCH,/api/v1/execution-plan-revision/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_trigger_rule,GET,/api/v1/trigger-rule,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_trigger_rule,POST,/api/v1/trigger-rule,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_trigger_rule,GET,/api/v1/trigger-rule/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_trigger_rule,PATCH,/api/v1/trigger-rule/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_lease,GET,/api/v1/lease,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
get_lease,GET,/api/v1/lease/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
list_automation_asset,GET,/api/v1/automation-asset,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_automation_asset,POST,/api/v1/automation-asset,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_automation_asset,GET,/api/v1/automation-asset/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_automation_asset,PATCH,/api/v1/automation-asset/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_login_strategy,GET,/api/v1/login-strategy,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_login_strategy,POST,/api/v1/login-strategy,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_login_strategy,GET,/api/v1/login-strategy/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_login_strategy,PATCH,/api/v1/login-strategy/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_page_object,GET,/api/v1/page-object,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_page_object,POST,/api/v1/page-object,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_page_object,GET,/api/v1/page-object/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_page_object,PATCH,/api/v1/page-object/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_action_asset,GET,/api/v1/action-asset,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_action_asset,POST,/api/v1/action-asset,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_action_asset,GET,/api/v1/action-asset/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_action_asset,PATCH,/api/v1/action-asset/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_assertion_asset,GET,/api/v1/assertion-asset,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_assertion_asset,POST,/api/v1/assertion-asset,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_assertion_asset,GET,/api/v1/assertion-asset/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_assertion_asset,PATCH,/api/v1/assertion-asset/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_runner,GET,/api/v1/runner,RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
create_runner_enrollment,POST,/api/v1/runner-enrollments,RUNNER_BIND,CURRENT_LIVING_AUTHORITY
get_runner,GET,/api/v1/runner/{id},RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
update_runner,PATCH,/api/v1/runner/{id},RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
enable_runner,POST,/api/v1/runner/{id}/enable,RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
disable_runner,POST,/api/v1/runner/{id}/disable,RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
archive_runner,POST,/api/v1/runner/{id}/archive,RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
rotate_runner_agent_token,POST,/api/v1/runner/{id}/agent-token/rotate,RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
revoke_runner_agent_token,POST,/api/v1/runner/{id}/agent-token/revoke,RUNNER_REGISTER,CURRENT_LIVING_AUTHORITY
list_execution_slot,GET,/api/v1/execution-slot,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_execution_slot,POST,/api/v1/execution-slot,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_execution_slot,GET,/api/v1/execution-slot/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_execution_slot,PATCH,/api/v1/execution-slot/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_model_config,GET,/api/v1/model-config,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
create_model_config,POST,/api/v1/model-config,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
get_model_config,GET,/api/v1/model-config/{id},MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
update_model_config,PATCH,/api/v1/model-config/{id},MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
submit_model_config_review,POST,/api/v1/model-config/{id}/submit-review,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
activate_model_config,POST,/api/v1/model-config/{id}/activate,MODEL_VERSION_REVIEW,CURRENT_LIVING_AUTHORITY
return_model_config_to_configuring,POST,/api/v1/model-config/{id}/return-to-configuring,MODEL_VERSION_REVIEW,CURRENT_LIVING_AUTHORITY
disable_model_config,POST,/api/v1/model-config/{id}/disable,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
recover_model_config,POST,/api/v1/model-config/{id}/recover,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
archive_model_config,POST,/api/v1/model-config/{id}/archive,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
test_model_config_connection,POST,/api/v1/model-config/{id}/connection-test,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
list_model_config_reviews,GET,/api/v1/model-config-review,MODEL_VERSION_REVIEW,CURRENT_LIVING_AUTHORITY
get_model_config_review,GET,/api/v1/model-config-review/{id},MODEL_VERSION_REVIEW,CURRENT_LIVING_AUTHORITY
set_capability_default_model,PUT,/api/v1/model-capability-default/{capability_code},MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
clear_capability_default_model,POST,/api/v1/model-capability-default/{capability_code}/clear,MODEL_CONFIGURATION_MANAGE,CURRENT_LIVING_AUTHORITY
list_prompt_revision,GET,/api/v1/prompt-revision,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_prompt_revision,POST,/api/v1/prompt-revision,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_prompt_revision,GET,/api/v1/prompt-revision/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_prompt_revision,PATCH,/api/v1/prompt-revision/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_ai_call,GET,/api/v1/ai-call,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_ai_call,POST,/api/v1/ai-call,AI_TASK_CREATE,CURRENT_LIVING_AUTHORITY
get_ai_call,GET,/api/v1/ai-call/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_ai_call,PATCH,/api/v1/ai-call/{id},AI_TASK_CREATE,CURRENT_LIVING_AUTHORITY
list_ai_task,GET,/api/v1/ai-task,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_ai_task,POST,/api/v1/ai-task,AI_TASK_CREATE,CURRENT_LIVING_AUTHORITY
get_ai_task,GET,/api/v1/ai-task/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_ai_task,PATCH,/api/v1/ai-task/{id},AI_TASK_CREATE,CURRENT_LIVING_AUTHORITY
list_test_report_generation_request,GET,/api/v1/test-report-generation-request,REPORT_VIEW,CURRENT_LIVING_AUTHORITY
create_test_report_generation_request,POST,/api/v1/test-report-generation-request,REPORT_VIEW,CURRENT_LIVING_AUTHORITY
get_test_report_generation_request,GET,/api/v1/test-report-generation-request/{id},REPORT_VIEW,CURRENT_LIVING_AUTHORITY
update_test_report_generation_request,PATCH,/api/v1/test-report-generation-request/{id},REPORT_VIEW,CURRENT_LIVING_AUTHORITY
list_test_report,GET,/api/v1/test-report,REPORT_VIEW,CURRENT_LIVING_AUTHORITY
create_test_report,POST,/api/v1/test-report,REPORT_VIEW,CURRENT_LIVING_AUTHORITY
get_test_report,GET,/api/v1/test-report/{id},REPORT_VIEW,CURRENT_LIVING_AUTHORITY
update_test_report,PATCH,/api/v1/test-report/{id},REPORT_VIEW,CURRENT_LIVING_AUTHORITY
list_test_artifact,GET,/api/v1/test-artifact,TEST_ARTIFACT_VIEW,CURRENT_LIVING_AUTHORITY
create_test_artifact,POST,/api/v1/test-artifact,TEST_ARTIFACT_VIEW,CURRENT_LIVING_AUTHORITY
get_test_artifact,GET,/api/v1/test-artifact/{id},TEST_ARTIFACT_VIEW,CURRENT_LIVING_AUTHORITY
update_test_artifact,PATCH,/api/v1/test-artifact/{id},TEST_ARTIFACT_VIEW,CURRENT_LIVING_AUTHORITY
list_technical_alert,GET,/api/v1/technical-alert,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_technical_alert,POST,/api/v1/technical-alert,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_technical_alert,GET,/api/v1/technical-alert/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_technical_alert,PATCH,/api/v1/technical-alert/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_integration_component,GET,/api/v1/integration-component,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_integration_component,POST,/api/v1/integration-component,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_integration_component,GET,/api/v1/integration-component/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_integration_component,PATCH,/api/v1/integration-component/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_system_parameter,GET,/api/v1/system-parameter,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_system_parameter,POST,/api/v1/system-parameter,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_system_parameter,GET,/api/v1/system-parameter/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_system_parameter,PATCH,/api/v1/system-parameter/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_data_dictionary,GET,/api/v1/data-dictionary,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_data_dictionary,POST,/api/v1/data-dictionary,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_data_dictionary,GET,/api/v1/data-dictionary/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_data_dictionary,PATCH,/api/v1/data-dictionary/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_audit_log,GET,/api/v1/audit-log,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_audit_log,POST,/api/v1/audit-log,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_audit_log,GET,/api/v1/audit-log/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_audit_log,PATCH,/api/v1/audit-log/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_retention_policy,GET,/api/v1/retention-policy,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_retention_policy,POST,/api/v1/retention-policy,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_retention_policy,GET,/api/v1/retention-policy/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_retention_policy,PATCH,/api/v1/retention-policy/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_controlled_purge_request,GET,/api/v1/controlled-purge-request,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_controlled_purge_request,POST,/api/v1/controlled-purge-request,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
get_controlled_purge_request,GET,/api/v1/controlled-purge-request/{id},PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
update_controlled_purge_request,PATCH,/api/v1/controlled-purge-request/{id},PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
list_technical_alert_endpoint,GET,/api/v1/technical-alert-endpoint,PROJECT_VIEW,CURRENT_LIVING_AUTHORITY
create_technical_alert_endpoint,POST,/api/v1/technical-alert-endpoint,PROJECT_EDIT,CURRENT_LIVING_AUTHORITY
