operationId,method,path,permission_code,approval_status
list_user,GET,/api/v1/user,PROJECT_VIEW,FROZEN_R3
create_user,POST,/api/v1/user,USER_CREATE,FROZEN_R3
get_user,GET,/api/v1/user/{id},PROJECT_VIEW,FROZEN_R3
update_user,PATCH,/api/v1/user/{id},USER_CREATE,FROZEN_R3
list_role,GET,/api/v1/role,PROJECT_VIEW,FROZEN_R3
create_role,POST,/api/v1/role,ROLE_BIND,FROZEN_R3
get_role,GET,/api/v1/role/{id},PROJECT_VIEW,FROZEN_R3
update_role,PATCH,/api/v1/role/{id},ROLE_BIND,FROZEN_R3
list_project,GET,/api/v1/project,PROJECT_VIEW,FROZEN_R3
create_project,POST,/api/v1/project,PROJECT_VIEW,FROZEN_R3
get_project,GET,/api/v1/project/{id},PROJECT_VIEW,FROZEN_R3
update_project,PATCH,/api/v1/project/{id},PROJECT_VIEW,FROZEN_R3
list_environment,GET,/api/v1/environment,PROJECT_VIEW,FROZEN_R3
create_environment,POST,/api/v1/environment,PROJECT_EDIT,FROZEN_R3
get_environment,GET,/api/v1/environment/{id},PROJECT_VIEW,FROZEN_R3
update_environment,PATCH,/api/v1/environment/{id},PROJECT_EDIT,FROZEN_R3
list_business_terminal,GET,/api/v1/business-terminal,PROJECT_VIEW,FROZEN_R3
create_business_terminal,POST,/api/v1/business-terminal,PROJECT_EDIT,FROZEN_R3
get_business_terminal,GET,/api/v1/business-terminal/{id},PROJECT_VIEW,FROZEN_R3
update_business_terminal,PATCH,/api/v1/business-terminal/{id},PROJECT_EDIT,FROZEN_R3
list_environment_terminal_access_revision,GET,/api/v1/environment-terminal-access-revision,PROJECT_VIEW,FROZEN_R3
create_environment_terminal_access_revision,POST,/api/v1/environment-terminal-access-revision,PROJECT_EDIT,FROZEN_R3
get_environment_terminal_access_revision,GET,/api/v1/environment-terminal-access-revision/{id},PROJECT_VIEW,FROZEN_R3
update_environment_terminal_access_revision,PATCH,/api/v1/environment-terminal-access-revision/{id},PROJECT_EDIT,FROZEN_R3
list_test_account,GET,/api/v1/test-account,PROJECT_VIEW,FROZEN_R3
create_test_account,POST,/api/v1/test-account,PROJECT_EDIT,FROZEN_R3
get_test_account,GET,/api/v1/test-account/{id},PROJECT_VIEW,FROZEN_R3
update_test_account,PATCH,/api/v1/test-account/{id},PROJECT_EDIT,FROZEN_R3
list_credential_revision,GET,/api/v1/credential-revision,PROJECT_VIEW,FROZEN_R3
create_credential_revision,POST,/api/v1/credential-revision,PROJECT_EDIT,FROZEN_R3
get_credential_revision,GET,/api/v1/credential-revision/{id},PROJECT_VIEW,FROZEN_R3
update_credential_revision,PATCH,/api/v1/credential-revision/{id},PROJECT_EDIT,FROZEN_R3
list_account_mapping_revision,GET,/api/v1/account-mapping-revision,PROJECT_VIEW,FROZEN_R3
create_account_mapping_revision,POST,/api/v1/account-mapping-revision,PROJECT_EDIT,FROZEN_R3
get_account_mapping_revision,GET,/api/v1/account-mapping-revision/{id},PROJECT_VIEW,FROZEN_R3
update_account_mapping_revision,PATCH,/api/v1/account-mapping-revision/{id},PROJECT_EDIT,FROZEN_R3
list_test_data_type,GET,/api/v1/test-data-type,PROJECT_VIEW,FROZEN_R3
create_test_data_type,POST,/api/v1/test-data-type,PROJECT_EDIT,FROZEN_R3
get_test_data_type,GET,/api/v1/test-data-type/{id},PROJECT_VIEW,FROZEN_R3
update_test_data_type,PATCH,/api/v1/test-data-type/{id},PROJECT_EDIT,FROZEN_R3
list_test_data_resource,GET,/api/v1/test-data-resource,PROJECT_VIEW,FROZEN_R3
create_test_data_resource,POST,/api/v1/test-data-resource,PROJECT_EDIT,FROZEN_R3
get_test_data_resource,GET,/api/v1/test-data-resource/{id},PROJECT_VIEW,FROZEN_R3
update_test_data_resource,PATCH,/api/v1/test-data-resource/{id},PROJECT_EDIT,FROZEN_R3
list_data_operation_task,GET,/api/v1/data-operation-task,PROJECT_VIEW,FROZEN_R3
create_data_operation_task,POST,/api/v1/data-operation-task,PROJECT_EDIT,FROZEN_R3
get_data_operation_task,GET,/api/v1/data-operation-task/{id},PROJECT_VIEW,FROZEN_R3
update_data_operation_task,PATCH,/api/v1/data-operation-task/{id},PROJECT_EDIT,FROZEN_R3
list_natural_language_case,GET,/api/v1/natural-language-case,PROJECT_VIEW,FROZEN_R3
create_natural_language_case,POST,/api/v1/natural-language-case,PROJECT_EDIT,FROZEN_R3
get_natural_language_case,GET,/api/v1/natural-language-case/{id},PROJECT_VIEW,FROZEN_R3
update_natural_language_case,PATCH,/api/v1/natural-language-case/{id},PROJECT_EDIT,FROZEN_R3
list_standard_case,GET,/api/v1/standard-case,PROJECT_VIEW,FROZEN_R3
create_standard_case,POST,/api/v1/standard-case,PROJECT_EDIT,FROZEN_R3
get_standard_case,GET,/api/v1/standard-case/{id},PROJECT_VIEW,FROZEN_R3
update_standard_case,PATCH,/api/v1/standard-case/{id},PROJECT_EDIT,FROZEN_R3
list_case_version,GET,/api/v1/case-version,PROJECT_VIEW,FROZEN_R3
create_case_version,POST,/api/v1/case-version,PROJECT_EDIT,FROZEN_R3
get_case_version,GET,/api/v1/case-version/{id},PROJECT_VIEW,FROZEN_R3
update_case_version,PATCH,/api/v1/case-version/{id},PROJECT_EDIT,FROZEN_R3
list_case_suite,GET,/api/v1/case-suite,PROJECT_VIEW,FROZEN_R3
create_case_suite,POST,/api/v1/case-suite,PROJECT_EDIT,FROZEN_R3
get_case_suite,GET,/api/v1/case-suite/{id},PROJECT_VIEW,FROZEN_R3
update_case_suite,PATCH,/api/v1/case-suite/{id},PROJECT_EDIT,FROZEN_R3
list_business_flow_template,GET,/api/v1/business-flow-template,PROJECT_VIEW,FROZEN_R3
create_business_flow_template,POST,/api/v1/business-flow-template,PROJECT_EDIT,FROZEN_R3
get_business_flow_template,GET,/api/v1/business-flow-template/{id},PROJECT_VIEW,FROZEN_R3
update_business_flow_template,PATCH,/api/v1/business-flow-template/{id},PROJECT_EDIT,FROZEN_R3
list_page_exploration,GET,/api/v1/page-exploration,PROJECT_VIEW,FROZEN_R3
create_page_exploration,POST,/api/v1/page-exploration,PROJECT_EDIT,FROZEN_R3
get_page_exploration,GET,/api/v1/page-exploration/{id},PROJECT_VIEW,FROZEN_R3
update_page_exploration,PATCH,/api/v1/page-exploration/{id},PROJECT_EDIT,FROZEN_R3
list_manual_recording_task,GET,/api/v1/manual-recording-task,PROJECT_VIEW,FROZEN_R3
create_manual_recording_task,POST,/api/v1/manual-recording-task,MANUAL_RECORDING_CREATE,FROZEN_R3
get_manual_recording_task,GET,/api/v1/manual-recording-task/{id},PROJECT_VIEW,FROZEN_R3
update_manual_recording_task,PATCH,/api/v1/manual-recording-task/{id},MANUAL_RECORDING_CREATE,FROZEN_R3
list_manual_recording_session,GET,/api/v1/manual-recording-session,PROJECT_VIEW,FROZEN_R3
create_manual_recording_session,POST,/api/v1/manual-recording-session,MANUAL_RECORDING_CREATE,FROZEN_R3
get_manual_recording_session,GET,/api/v1/manual-recording-session/{id},PROJECT_VIEW,FROZEN_R3
update_manual_recording_session,PATCH,/api/v1/manual-recording-session/{id},MANUAL_RECORDING_CREATE,FROZEN_R3
list_recording_evidence_bundle,GET,/api/v1/recording-evidence-bundle,PROJECT_VIEW,FROZEN_R3
create_recording_evidence_bundle,POST,/api/v1/recording-evidence-bundle,PROJECT_EDIT,FROZEN_R3
get_recording_evidence_bundle,GET,/api/v1/recording-evidence-bundle/{id},PROJECT_VIEW,FROZEN_R3
update_recording_evidence_bundle,PATCH,/api/v1/recording-evidence-bundle/{id},PROJECT_EDIT,FROZEN_R3
list_run_task,GET,/api/v1/run-task,PROJECT_VIEW,FROZEN_R3
create_run_task,POST,/api/v1/run-task,RUN_TASK_CREATE,FROZEN_R3
get_run_task,GET,/api/v1/run-task/{id},PROJECT_VIEW,FROZEN_R3
update_run_task,PATCH,/api/v1/run-task/{id},RUN_TASK_CREATE,FROZEN_R3
list_execution_attempt,GET,/api/v1/execution-attempt,PROJECT_VIEW,FROZEN_R3
create_execution_attempt,POST,/api/v1/execution-attempt,PROJECT_EDIT,FROZEN_R3
get_execution_attempt,GET,/api/v1/execution-attempt/{id},PROJECT_VIEW,FROZEN_R3
update_execution_attempt,PATCH,/api/v1/execution-attempt/{id},PROJECT_EDIT,FROZEN_R3
list_case_attempt,GET,/api/v1/case-attempt,PROJECT_VIEW,FROZEN_R3
create_case_attempt,POST,/api/v1/case-attempt,PROJECT_EDIT,FROZEN_R3
get_case_attempt,GET,/api/v1/case-attempt/{id},PROJECT_VIEW,FROZEN_R3
update_case_attempt,PATCH,/api/v1/case-attempt/{id},PROJECT_EDIT,FROZEN_R3
list_execution_plan,GET,/api/v1/execution-plan,PROJECT_VIEW,FROZEN_R3
create_execution_plan,POST,/api/v1/execution-plan,PROJECT_EDIT,FROZEN_R3
get_execution_plan,GET,/api/v1/execution-plan/{id},PROJECT_VIEW,FROZEN_R3
update_execution_plan,PATCH,/api/v1/execution-plan/{id},PROJECT_EDIT,FROZEN_R3
list_execution_plan_revision,GET,/api/v1/execution-plan-revision,PROJECT_VIEW,FROZEN_R3
create_execution_plan_revision,POST,/api/v1/execution-plan-revision,PROJECT_EDIT,FROZEN_R3
get_execution_plan_revision,GET,/api/v1/execution-plan-revision/{id},PROJECT_VIEW,FROZEN_R3
update_execution_plan_revision,PATCH,/api/v1/execution-plan-revision/{id},PROJECT_EDIT,FROZEN_R3
list_trigger_rule,GET,/api/v1/trigger-rule,PROJECT_VIEW,FROZEN_R3
create_trigger_rule,POST,/api/v1/trigger-rule,PROJECT_EDIT,FROZEN_R3
get_trigger_rule,GET,/api/v1/trigger-rule/{id},PROJECT_VIEW,FROZEN_R3
update_trigger_rule,PATCH,/api/v1/trigger-rule/{id},PROJECT_EDIT,FROZEN_R3
list_lease,GET,/api/v1/lease,PROJECT_VIEW,FROZEN_R3
create_lease,POST,/api/v1/lease,PROJECT_EDIT,FROZEN_R3
get_lease,GET,/api/v1/lease/{id},PROJECT_VIEW,FROZEN_R3
update_lease,PATCH,/api/v1/lease/{id},PROJECT_EDIT,FROZEN_R3
list_automation_asset,GET,/api/v1/automation-asset,PROJECT_VIEW,FROZEN_R3
create_automation_asset,POST,/api/v1/automation-asset,PROJECT_EDIT,FROZEN_R3
get_automation_asset,GET,/api/v1/automation-asset/{id},PROJECT_VIEW,FROZEN_R3
update_automation_asset,PATCH,/api/v1/automation-asset/{id},PROJECT_EDIT,FROZEN_R3
