mapping_id,role_id,permission_id,permission_code,decision,data_scope,conditions
RPM-R3-0001,ROLE-SUPER-ADMIN,TERM-PER-001,PROJECT_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0002,ROLE-SUPER-ADMIN,TERM-PER-002,PROJECT_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0003,ROLE-SUPER-ADMIN,TERM-PER-003,PROJECT_EDIT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0004,ROLE-SUPER-ADMIN,TERM-PER-004,PROJECT_ARCHIVE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0005,ROLE-SUPER-ADMIN,TERM-PER-005,BUSINESS_MODULE_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0006,ROLE-SUPER-ADMIN,TERM-PER-006,BUSINESS_MODULE_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0007,ROLE-SUPER-ADMIN,TERM-PER-007,BUSINESS_MODULE_EDIT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0008,ROLE-SUPER-ADMIN,TERM-PER-008,BUSINESS_MODULE_ARCHIVE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0009,ROLE-SUPER-ADMIN,TERM-PER-009,BUSINESS_TERMINAL_VIEW,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0010,ROLE-SUPER-ADMIN,TERM-PER-010,BUSINESS_TERMINAL_CREATE,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
RPM-R3-0011,ROLE-SUPER-ADMIN,TERM-PER-011,BUSINESS_TERMINAL_EDIT,ALLOWED,平台全部active数据和依法保留的history数据；高风险操作仍必须审计。,仍受数据范围、对象状态和接口鉴权约束
