state_dimension_id,object_id,object_name,dimension_name,persistence_field,owner,initial_value,terminal_values,values
SD-001-LIFECYCLE,OBJ-001,用户,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|LOCKED|DISABLED|RECOVERING|ARCHIVED|LOGICALLY_DELETED
SD-002-LIFECYCLE,OBJ-002,内置admin用户,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,INITIALIZED,,INITIALIZED|ACTIVE|LOCKED
SD-003-LIFECYCLE,OBJ-003,角色,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-004-LIFECYCLE,OBJ-004,SUPER_ADMIN角色,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,INITIALIZED,,INITIALIZED|ACTIVE|LOCKED
SD-005-LIFECYCLE,OBJ-005,权限点,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-006-LIFECYCLE,OBJ-006,数据范围,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,DEFINED,RETIRED,DEFINED|IN_USE|SUPERSEDED|RETIRED
SD-007-LIFECYCLE,OBJ-007,项目,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|CONFIGURING|VALIDATING|ACTIVE|DISABLED|RECOVERING|ARCHIVED|CLEANUP_PENDING|LOGICALLY_DELETED
SD-008-LIFECYCLE,OBJ-008,项目成员,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-009-LIFECYCLE,OBJ-009,环境,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|CONFIGURING|VALIDATING|ACTIVE|UNREACHABLE|DISABLED|RECOVERING|ARCHIVED
SD-010-LIFECYCLE,OBJ-010,业务模块,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,LOGICALLY_DELETED,CREATED|DRAFT|ACTIVE|DISABLED|RECOVERED|ARCHIVED|LOGICALLY_DELETED
SD-011-LIFECYCLE,OBJ-011,业务终端,lifecycle_stage,lifecycle_status,DOMAIN_AGGREGATE,CREATED,ARCHIVED,CREATED|CONFIGURING|VALIDATING|ACTIVE|UNREACHABLE|DISABLED|RECOVERING|ARCHIVED
