object_id,name,object_type,aggregate_id,persistence_strategy,table_name,primary_key,lifecycle_id,state_fields
OBJ-001,用户,AGGREGATE_ROOT,AGG-001,TABLE,atp_user,user_id,LC-001,lifecycle_status
OBJ-002,内置admin用户,AGGREGATE_MEMBER,AGG-001,TABLE,atp_admin,admin_id,LC-002,lifecycle_status
OBJ-003,角色,AGGREGATE_ROOT,AGG-002,TABLE,atp_role,role_id,LC-003,lifecycle_status
OBJ-004,SUPER_ADMIN角色,AGGREGATE_MEMBER,AGG-002,TABLE,atp_entity_super_admin_role,entity_super_admin_role_id,LC-004,lifecycle_status
OBJ-005,权限点,AGGREGATE_MEMBER,AGG-002,TABLE,atp_permission_code,permission_code_id,LC-005,lifecycle_status
OBJ-006,数据范围,VALUE_OBJECT,AGG-002,EMBEDDED_VALUE,,,LC-006,lifecycle_status
OBJ-007,项目,AGGREGATE_ROOT,AGG-003,TABLE,atp_project,project_id,LC-007,lifecycle_status
OBJ-008,项目成员,RELATIONSHIP_ENTITY,AGG-003,TABLE,atp_project_member,project_member_id,LC-008,lifecycle_status
OBJ-009,环境,AGGREGATE_ROOT,AGG-004,TABLE,atp_environment,environment_id,LC-009,lifecycle_status|enablement_state|accessibility_state
OBJ-010,业务模块,AGGREGATE_MEMBER,AGG-003,TABLE,atp_business_module,business_module_id,LC-010,lifecycle_status
OBJ-011,业务终端,CONFIGURATION_ENTITY,AGG-004,TABLE,atp_business_terminal,business_terminal_id,LC-011,lifecycle_status
OBJ-012,环境终端访问配置修订,VERSION_ENTITY,AGG-004,TABLE,atp_environment_terminal_access_revision,environment_terminal_access_revision_id,LC-012,lifecycle_status
OBJ-013,测试账号,AGGREGATE_ROOT,AGG-005,TABLE,atp_test_account,test_account_id,LC-013,lifecycle_status|credential_state
OBJ-014,凭证版本,VERSION_ENTITY,AGG-005,TABLE,atp_credential_revision,credential_revision_id,LC-014,lifecycle_status
OBJ-015,账号映射修订,VERSION_ENTITY,AGG-005,TABLE,atp_account_mapping_revision,account_mapping_revision_id,LC-015,lifecycle_status
OBJ-016,SSO身份,AGGREGATE_MEMBER,AGG-005,TABLE,atp_sso_identity,sso_identity_id,LC-016,lifecycle_status
OBJ-017,登录验证资格,AGGREGATE_MEMBER,AGG-005,TABLE,atp_login_qualification,login_qualification_id,LC-017,lifecycle_status
OBJ-018,数据类型,CONFIGURATION_ENTITY,AGG-006,TABLE,atp_test_data_type,test_data_type_id,LC-018,lifecycle_status
OBJ-019,测试数据资源,AGGREGATE_ROOT,AGG-006,TABLE,atp_test_data_resource,test_data_resource_id,LC-019,lifecycle_status
OBJ-020,数据操作任务,AGGREGATE_ROOT,AGG-007,TABLE,atp_data_operation_task,data_operation_task_id,LC-020,lifecycle_status
OBJ-021,自然语言用例,AGGREGATE_ROOT,AGG-008,TABLE,atp_natural_language_case,natural_language_case_id,LC-021,lifecycle_status
OBJ-022,标准结构用例,AGGREGATE_ROOT,AGG-009,TABLE,atp_standard_case,standard_case_id,LC-022,lifecycle_status
OBJ-023,用例版本,VERSION_ENTITY,AGG-009,TABLE,atp_case_version,case_version_id,LC-023,lifecycle_status
OBJ-024,用例套件,AGGREGATE_ROOT,AGG-010,TABLE,atp_case_suite,case_suite_id,LC-024,lifecycle_status
OBJ-025,业务流程模板,AGGREGATE_ROOT,AGG-011,TABLE,atp_business_flow_template,business_flow_template_id,LC-025,lifecycle_status
OBJ-026,跨端编排,AGGREGATE_MEMBER,AGG-011,TABLE,atp_cross_terminal_orchestration,cross_terminal_orchestration_id,LC-026,lifecycle_status
OBJ-027,AI页面探索,AGGREGATE_ROOT,AGG-012,TABLE,atp_page_exploration,page_exploration_id,LC-027,lifecycle_status
OBJ-028,结构转换,DOMAIN_SERVICE,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-028,lifecycle_status
OBJ-029,AI验证,DOMAIN_SERVICE,,SERVICE_OR_EXTERNAL_NOT_PERSISTED,,,LC-029,lifecycle_status
OBJ-030,人工录制任务,AGGREGATE_ROOT,AGG-013,TABLE,atp_manual_recording_task,manual_recording_task_id,LC-030,status|lifecycle_status
